POLR1B	Q9H9Y6
POLR1C	O15160
POLR1E	Q9GZS1
POLR1F	Q3B726
POLR1G	O15446
POLR2F	P61218
POLR2H	P52434
POLR2I	P36954
POLR2L	P62875
POLR3F	Q9H1D9
POMGNT1	Q8WZA1
POU2F1	P14859
PPAN	Q9NQ55
PPAT	Q06203
PPCDC	Q96CD2
PPHLN1	Q8NEY8
PPIB	P23284
PPIH	O43447
PPM1L	Q5SGD2
PPME1	Q9Y570
PPP1R14B	Q96C90
PPP2R5E	Q16537
PPP3CA	Q08209
PPP6R3	Q5H9R7
PRDX2	P32119
PRIM1	P49642
PRKCD	Q05655
PRKDC	P78527
PRMT1	Q99873
PRMT5	O14744
PRNP	P04156
PROS1	P07225
PRPF3	O43395
PRPF31	Q8WWY3
PRPF38B	Q5VTL8
PRPF40A	O75400
PRRC2B	Q5JSZ5
PRTN3	P24158
PSEN2	P49810
PSMB4	P28070
PSMC2	P35998
PSMC3	P17980
PSMC4	P43686
PSMC5	P62195
PSMC6	P62333
PSMD1	Q99460
PSMD11	O00231
PSMD12	O00232
PSMD14	O00487
PSMD3	O43242
PSMD6	Q15008
PSMD7	P51665
PSMD8	P48556
PSME3	P61289
PSMG2	Q969U7
PSPH	P78330
PTBP1	P26599
PTCD1	O75127
PTK2	Q05397
PTMA	P06454
PTPN2	P17706
PTPN6	P29350
PTPRJ	Q12913
PTRH1	Q86Y79
PUM2	Q8TB72
PUS7	Q96PZ0
PUSL1	Q8N0Z8
PXDC1	Q5TGL8
PXDN	Q92626
PYCR1	P32322
PYCR2	Q96C36
QPCTL	Q9NXS2
QTRT2	Q9H974
RAB10	P61026
RAB11FIP5	Q9BXF6
RAB18	Q9NP72
RAB1A	P62820
RAB21	Q9UL25
RAB24	Q969Q5
RAB30	Q15771
RAB35	Q15286
RAB3A	P20336
RAB3B	P20337
RAB3D	O95716
RAB3IL1	Q8TBN0
RAB5B	P61020
RAB5IF	Q9BUV8
RAB7A	P51149
RAB8B	Q92930
RABGAP1L	B7ZAP0
RABL3	Q5HYI8
RAC1	P63000
RACK1	P63244
RAD1	O60671
RAD9A	Q99638
RAN	P62826
RANBP1	P43487
RANBP2	P49792
RAP1GAP	P47736
RAP2B	P61225
RAPGEF2	Q9Y4G8
RAPGEF6	Q8TEU7
RARS1	P54136
RB1	P06400
RBBP4	Q09028
RBFA	Q8N0V3
RBM10	P98175
RBM12B	Q8IXT5
RBM15B	Q8NDT2
RBM19	Q9Y4C8
RBM27	Q9P2N5
RBM28	Q9NW13
RBM7	Q9Y580
RBMS1	P29558
RBP7	Q96R05
RBPMS	Q93062
RC3H1	Q5TC82
RCC2	Q9P258
RCE1	Q9Y256
RCN2	Q14257
RCOR1	Q9UKL0
RCOR2	Q8IZ40
RFC4	P35249
RFX1	P22670
RFX5	P48382
RHBDD3	Q9Y3P4
RHPN2	Q8IUC4
RIC8A	Q9NPQ8
RIF1	Q5UIP0
RIN1	Q13671
RIOK2	Q9BVS4
RIOX2	Q8IUF8
RIPK2	O43353
RNASE3	P12724
RNASEH2B	Q5TBB1
RNF115	Q9Y4L5
RNF149	Q8NC42
RNF2	Q99496
RNF214	Q8ND24
RNF25	Q96BH1
RNH1	P13489
ROBO1	Q9Y6N7
RP2	O75695
RPA1	P27694
RPL10A	P62906
RPL11	P62913
RPL12	P30050
RPL14	P50914
RPL15	P61313
RPL17	P18621
RPL18	Q07020
RPL22	P35268
RPL22L1	Q6P5R6
RPL24	P83731
RPL28	P46779
RPL3	P39023
RPL5	P46777
RPL6	Q02878
RPLP0	P05388
RPN1	P04843
RPP30	P78346
RPRD1A	Q96P16
RPS10	P46783
RPS13	P62277
RPS14	P62263
RPS19	P39019
RPS2	P15880
RPS24	P62847
RPS25	P62851
RPS26	P62854
RPS3A	P61247
RPS4X	P62701
RPS5	P46782
RPS6	P62753
RPS6KA3	P51812
RPS9	P46781
RPSA	P08865
RRM1	P23921
RRM2	P31350
RRM2B	Q7LG56
RRP1	P56182
RRP12	Q5JTH9
RRP15	Q9Y3B9
RRP7A	Q9Y3A4
RRP9	O43818
RRS1	Q15050
RSAD1	Q9HA92
RSL1D1	O76021
RSL24D1	Q9UHA3
RSPRY1	Q96DX4
RTCA	O00442
RTKN	Q9BST9
RTL8C	A6ZKI3
RTN4	Q9NQC3
RTN4RL2	Q86UN3
RUFY1	Q96T51
RUVBL1	Q9Y265
RXRB	P28702
S100A11	P31949
S100A12	P80511
S100A8	P05109
S100A9	P06702
S100P	P25815
SAE1	Q9UBE0
SAMD4B	Q5PRF9
SAP130	Q9H0E3
SAP18	O00422
SAP30BP	Q9UHR5
SARM1	Q6SZW1
SARS1	P49591
SART3	Q15020
SBNO1	A3KN83
SCAMP2	O15127
SCD	O00767
SCPEP1	Q9HB40
SDC2	P34741
SDE2	Q6IQ49
SEC11A	P67812
SEC61A1	P61619
SELENOM	Q8WWX9
SEPHS1	P49903
SERBP1	Q8NC51
SERPINA1	P01009
SERPINA3	P01011
SERPINE1	P05121
SERPINE2	P07093
SERPINH1	P50454
SETDB1	Q15047
SF3A1	Q15459
SF3A2	Q15428
SF3A3	Q12874
SF3B1	O75533
SF3B3	Q15393
SFPQ	P23246
SFT2D2	O95562
SGTB	Q96EQ0
SH3BP4	Q9P0V3
SH3BP5L	Q7L8J4
SH3GL1	Q99961
SH3GLB1	Q9Y371
SHBG	P04278
